Wavelength(nm)	n	k														
354.43755	2.404599151	0.312113054						
365.8734896	2.395999955	0.255972878						
372.0897758	2.383053863	0.207999291						
376.2170745	2.367936576	0.174313634						
382.4052073	2.344179552	0.131445412						
387.5516616	2.320418023	0.086528618						
394.75895	2.288016757	0.070702874						
404.0327031	2.249137941	0.042108179						
414.3537652	2.212425816	0.029339228						
424.6860888	2.180038063	0.010937535						
436.0657215	2.149817002	0.00752214						
451.6120677	2.11961396	0.000691351						
471.3194968	2.087266748	0.000650358						
496.2409487	2.057104247	0.000599393						
522.2266017	2.035594995	0.000535133						
551.3485512	2.018423631	0.000487491						
569.0289305	2.007689276	0.000458685						
586.7205712	2.001279294	0.000422123						
604.4122118	1.994869312	0.000386669						
620.0317571	1.992774693	0.000346784						
639.8067546	1.98637372	0.000315761						
654.3846214	1.984274598	0.000276984						
671.0402144	1.980022298	0.000242638						
685.6180813	1.977923175	0.000207184						
709.565423	1.973702407	0.00016619						
728.3100035	1.971621302	0.000131844						
742.8878704	1.969522179	9.41745E-05						
766.8408428	1.967463598	5.98285E-05						
789.7521368	1.965400511	9.97E-06						
809.5440264	1.965486098	4.21015E-05						
826.2052501	1.963395984	7.64475E-05
840.5	1.9548496746958	0
876.0	1.951673803947	0
911.5	1.9489001072286	0						
